i,t
31,1.838
35,1.842
21,1.8445
32,1.846
49,1.851
36,1.852
33,1.857
6,1.859
21,1.859
37,1.864
22,1.869
62,1.869
38,1.87
79,1.872
34,1.873
23,1.879
39,1.8800000000000001
35,1.8860000000000001
40,1.8860000000000001
24,1.889
36,1.8960000000000001
25,1.899
37,1.9080000000000001
26,1.909
3,1.9140000000000001
38,1.9140000000000001
27,1.919
39,1.924
28,1.929
40,1.93
12,1.9315
66,1.9365
29,1.939
5,1.9405000000000001
64,1.9485000000000001
30,1.949
52,1.9525000000000001
21,1.9585000000000001
57,1.964
48,1.9665000000000001
32,1.9745000000000001
31,1.9985
51,2.0075
47,2.0115
84,2.0245
0,2.031
63,2.0460000000000003
68,2.0460000000000003
23,2.056
73,2.0705
16,2.0755
39,2.0855
31,2.089
32,2.097
33,2.108
95,2.1135
15,2.1155
1,2.1205
1,2.124
34,2.124
84,2.133
27,2.1350000000000002
35,2.137
24,2.1385
36,2.1470000000000002
31,2.148
14,2.149
80,2.1505
77,2.1545
32,2.156
44,2.157
37,2.1590000000000003
38,2.165
33,2.1670000000000003
39,2.1750000000000003
69,2.1750000000000003
40,2.181
34,2.183
25,2.19
22,2.193
79,2.1945
35,2.196
45,2.196
36,2.206
37,2.218
38,2.224
39,2.234
84,2.2355
39,2.2395
40,2.24
1,2.253
47,2.253
1,2.255
62,2.255
64,2.2695
2,2.27
88,2.2735
3,2.275
29,2.2805
16,2.281
4,2.29
5,2.291
6,2.293
43,2.3025
14,2.3045
32,2.3105
7,2.312
8,2.319
59,2.32
41,2.322
70,2.3235
9,2.3255
9,2.327
10,2.328
46,2.332
84,2.332
42,2.34
61,2.34
62,2.348
71,2.3515
95,2.3515
43,2.358
18,2.3625000000000003
44,2.363
63,2.368
45,2.37
46,2.372
78,2.373
3,2.3765
47,2.38
48,2.38
64,2.382
67,2.3835
6,2.3875
48,2.3930000000000002
49,2.394
65,2.394
69,2.3955
19,2.398
66,2.408
50,2.4090000000000003
67,2.41
28,2.414
68,2.416
1,2.4170000000000003
1,2.42
0,2.422
22,2.422
69,2.423
1,2.4245
12,2.427
70,2.4290000000000003
61,2.43
2,2.432
3,2.437
62,2.438
52,2.439
2,2.4405
4,2.452
5,2.453
89,2.4545
6,2.455
63,2.458
51,2.466
30,2.472
52,2.472
64,2.472
7,2.474
8,2.481
53,2.483
65,2.484
9,2.489
10,2.49
95,2.492
54,2.497
55,2.498
66,2.498
67,2.5
56,2.5060000000000002
68,2.5060000000000002
84,2.5060000000000002
69,2.513
51,2.515
98,2.5165
57,2.5180000000000002
70,2.519
52,2.521
58,2.528
76,2.5315
53,2.532
51,2.539
13,2.5395
59,2.544
52,2.545
75,2.545
54,2.5460000000000003
60,2.5460000000000003
55,2.547
56,2.555
53,2.556
27,2.5565
79,2.5625
57,2.567
54,2.57
55,2.571
58,2.577
56,2.579
57,2.591
59,2.593
60,2.595
58,2.601
59,2.617
60,2.619
46,2.6215
11,2.632
12,2.634
13,2.636
14,2.638
15,2.64
16,2.642
17,2.644
18,2.646
19,2.648
20,2.65
84,2.66
10,2.6615
88,2.6625
7,2.6695
37,2.682
95,2.6845
31,2.6915
56,2.6965
72,2.7015000000000002
62,2.7105
32,2.73
26,2.7315
34,2.733
52,2.7405
38,2.7475
22,2.7505
84,2.7715
14,2.7760000000000002
60,2.7785
42,2.7895
27,2.7960000000000003
9,2.8120000000000003
95,2.817
3,2.829
84,2.8415
0,2.843
90,2.8835
71,2.884
72,2.8890000000000002
73,2.894
35,2.899
74,2.899
71,2.904
75,2.904
72,2.9090000000000003
76,2.9090000000000003
61,2.9130000000000003
73,2.914
77,2.914
74,2.919
78,2.919
32,2.9210000000000003
62,2.9210000000000003
75,2.924
79,2.924
50,2.9255
76,2.9290000000000003
80,2.9290000000000003
77,2.934
78,2.939
63,2.9410000000000003
36,2.942
79,2.944
80,2.949
23,2.9535
47,2.9535
64,2.955
53,2.956
31,2.9585
65,2.967
57,2.968
51,2.9685
30,2.9775
33,2.9775
66,2.981
67,2.983
68,2.989
95,2.9935
69,2.996
70,3.0020000000000002
71,3.009
72,3.0140000000000002
72,3.0175
73,3.019
42,3.023
74,3.024
75,3.029
2,3.0315
76,3.0340000000000003
6,3.0345
2,3.0355
54,3.0355
77,3.039
90,3.0415
78,3.044
79,3.049
80,3.0540000000000003
48,3.056
24,3.0615
68,3.0625
37,3.0635
27,3.0685000000000002
38,3.0725000000000002
84,3.075
7,3.0905
36,3.104
34,3.113
90,3.1135
83,3.1205000000000003
31,3.1295
1,3.13
1,3.1345
1,3.138
67,3.1435
2,3.145
95,3.1495
3,3.15
65,3.1605
4,3.165
5,3.166
56,3.166
6,3.168
7,3.1870000000000003
50,3.1905
8,3.194
27,3.1955
9,3.202
10,3.203
9,3.207
41,3.222
52,3.2275
77,3.236
70,3.244
41,3.247
15,3.249
33,3.2505
41,3.251
90,3.251
42,3.265
42,3.269
40,3.2765
43,3.283
84,3.283
75,3.2865
43,3.287
44,3.2880000000000003
13,3.2885
44,3.2920000000000003
45,3.295
46,3.297
45,3.299
46,3.301
47,3.305
55,3.306
47,3.309
48,3.318
49,3.319
48,3.322
49,3.323
16,3.33
35,3.331
50,3.334
63,3.3355
50,3.338
61,3.344
38,3.353
60,3.358
29,3.366
66,3.3715
79,3.3715
8,3.3770000000000002
11,3.3805
95,3.416
34,3.4165
30,3.4185
59,3.4295
5,3.4435000000000002
90,3.459
76,3.468
14,3.4715000000000003
