i,t
46,0.051000000000000004
12,0.053
47,0.0555
21,0.059000000000000004
22,0.069
77,0.077
23,0.079
24,0.089
25,0.099
57,0.10200000000000001
26,0.109
27,0.11900000000000001
69,0.11900000000000001
69,0.1225
28,0.129
78,0.133
29,0.139
35,0.14200000000000002
30,0.149
67,0.1495
67,0.154
52,0.1545
11,0.158
49,0.186
8,0.19
88,0.1935
71,0.201
72,0.20600000000000002
10,0.20800000000000002
73,0.211
66,0.212
74,0.216
75,0.221
76,0.226
18,0.2265
77,0.231
39,0.233
78,0.23600000000000002
79,0.241
80,0.246
0,0.252
57,0.2635
17,0.2755
88,0.28300000000000003
32,0.2915
32,0.2975
31,0.298
63,0.3005
32,0.3055
1,0.3095
2,0.313
24,0.313
67,0.324
5,0.339
69,0.34800000000000003
29,0.34950000000000003
21,0.352
60,0.356
69,0.356
70,0.3605
47,0.377
88,0.3825
20,0.39
48,0.41450000000000004
51,0.428
96,0.4305
45,0.4375
21,0.4665
19,0.47250000000000003
30,0.47700000000000004
51,0.47700000000000004
51,0.481
52,0.484
32,0.485
53,0.487
32,0.4875
52,0.488
54,0.488
53,0.4905
53,0.491
63,0.491
32,0.4915
54,0.492
88,0.493
55,0.507
55,0.511
56,0.516
40,0.519
56,0.52
24,0.5325
24,0.5355
57,0.536
57,0.54
58,0.54
76,0.5405
58,0.544
59,0.546
7,0.5475
59,0.55
88,0.552
60,0.5630000000000001
60,0.5670000000000001
14,0.5710000000000001
3,0.5760000000000001
41,0.5835
1,0.586
9,0.59
2,0.599
3,0.602
4,0.617
10,0.6325000000000001
96,0.6325000000000001
5,0.635
13,0.635
6,0.654
7,0.663
8,0.676
21,0.676
40,0.682
9,0.685
10,0.687
11,0.6930000000000001
95,0.6980000000000001
88,0.7035
68,0.7225
79,0.726
79,0.7325
1,0.733
2,0.746
3,0.749
41,0.7525000000000001
15,0.7555000000000001
4,0.764
53,0.7705
53,0.7755
75,0.777
5,0.782
53,0.7825
6,0.801
44,0.801
6,0.807
7,0.81
88,0.8125
39,0.8180000000000001
8,0.8230000000000001
70,0.8260000000000001
9,0.8320000000000001
10,0.834
34,0.8355
77,0.8385
73,0.8425
56,0.8565
89,0.8565
4,0.8665
65,0.8675
26,0.8705
51,0.8795000000000001
12,0.8835000000000001
5,0.892
39,0.901
46,0.903
23,0.9155
72,0.916
24,0.9295
40,0.9325
37,0.933
50,0.9355
6,0.9935
47,0.9945
6,0.9975
73,0.9995
9,1.0
57,1.0045
27,1.0175
34,1.0285
15,1.03
58,1.054
5,1.07
52,1.073
33,1.0735000000000001
76,1.0765
39,1.0805
41,1.098
42,1.1
56,1.106
43,1.111
78,1.111
44,1.119
66,1.1325
88,1.135
45,1.139
12,1.1485
37,1.1505
46,1.153
36,1.159
57,1.1635
15,1.168
1,1.1685
47,1.171
48,1.176
16,1.1795
49,1.181
39,1.188
50,1.192
39,1.193
33,1.1935
30,1.1955
21,1.1965000000000001
20,1.1975
2,1.223
29,1.224
13,1.232
51,1.2375
88,1.2375
58,1.243
9,1.244
61,1.2570000000000001
62,1.266
4,1.274
63,1.28
64,1.292
19,1.294
65,1.307
17,1.311
66,1.315
47,1.32
36,1.324
67,1.326
11,1.329
12,1.331
67,1.331
13,1.333
14,1.335
68,1.336
15,1.337
16,1.339
15,1.341
17,1.341
69,1.342
18,1.343
19,1.345
20,1.347
69,1.3475
26,1.3495
70,1.355
44,1.357
77,1.3635
42,1.373
40,1.375
60,1.393
55,1.418
33,1.48
23,1.487
4,1.492
9,1.5155
64,1.518
20,1.5205
69,1.5215
71,1.524
8,1.5265
72,1.5275
72,1.5290000000000001
7,1.5330000000000001
73,1.534
74,1.539
57,1.544
75,1.544
16,1.5445
29,1.5465
76,1.549
35,1.5525
77,1.554
78,1.559
18,1.5615
79,1.564
80,1.569
49,1.5765
42,1.5775000000000001
88,1.594
17,1.596
67,1.5985
38,1.602
63,1.606
4,1.616
41,1.624
42,1.6260000000000001
1,1.633
0,1.6355
24,1.6360000000000001
43,1.637
14,1.6385
24,1.6405
21,1.6440000000000001
44,1.645
48,1.645
2,1.6460000000000001
3,1.649
23,1.6495
27,1.6495
31,1.651
22,1.6540000000000001
32,1.6540000000000001
33,1.6580000000000001
34,1.6580000000000001
90,1.6605
4,1.6640000000000001
23,1.6640000000000001
15,1.665
45,1.665
34,1.669
55,1.6695
24,1.674
35,1.675
36,1.678
46,1.679
37,1.68
5,1.682
46,1.683
25,1.684
38,1.685
39,1.689
59,1.69
40,1.691
26,1.694
47,1.697
6,1.701
48,1.702
27,1.704
49,1.707
60,1.708
7,1.71
28,1.714
50,1.718
8,1.723
29,1.724
9,1.732
10,1.734
30,1.734
72,1.738
43,1.7515
79,1.7610000000000001
16,1.7625
63,1.7645
61,1.7710000000000001
53,1.7735
21,1.8005
35,1.8165
1,1.819
31,1.824
32,1.827
38,1.8295000000000001
33,1.831
34,1.842
35,1.848
36,1.851
37,1.853
4,1.858
38,1.858
23,1.859
39,1.862
40,1.864
12,1.8645
56,1.8655
39,1.867
19,1.8775
14,1.8805
88,1.9065
10,1.9080000000000001
66,1.9285
9,1.933
1,1.942
43,1.9445000000000001
45,1.9455
78,1.9455
52,1.956
75,1.9565000000000001
39,1.9575
63,1.9645000000000001
15,1.968
15,1.973
71,1.975
72,1.98
73,1.985
74,1.99
29,1.995
75,1.995
2,1.997
83,1.9995
76,2.0
13,2.0025
77,2.005
78,2.0100000000000002
79,2.015
80,2.02
56,2.021
36,2.024
66,2.0455
59,2.0460000000000003
53,2.047
51,2.05
33,2.0565
52,2.057
53,2.06
54,2.061
11,2.0715
65,2.076
55,2.08
56,2.089
30,2.0915
39,2.104
41,2.1075
57,2.109
58,2.113
59,2.119
40,2.1265
50,2.1350000000000002
60,2.136
68,2.1595
12,2.1685
34,2.1750000000000003
26,2.1755
42,2.1885
74,2.1895000000000002
29,2.2075
28,2.2225
35,2.2425
4,2.244
65,2.249
90,2.2865
72,2.303
73,2.3095
37,2.312
58,2.32
62,2.342
32,2.3465000000000003
8,2.3645
6,2.3655
6,2.37
25,2.3745
33,2.3855
54,2.4010000000000002
90,2.414
7,2.416
88,2.4225
21,2.424
14,2.4265
22,2.434
58,2.435
2,2.4355
67,2.4365
23,2.444
24,2.454
3,2.4565
19,2.458
25,2.464
55,2.4715000000000003
26,2.474
52,2.4765
61,2.482
88,2.482
27,2.484
33,2.492
28,2.494
29,2.504
64,2.505
96,2.5075
30,2.5140000000000002
44,2.5235
77,2.5245
73,2.5455
78,2.557
54,2.564
10,2.5645000000000002
39,2.5665
11,2.578
41,2.579
12,2.58
42,2.581
13,2.582
14,2.584
15,2.586
16,2.588
88,2.5895
17,2.59
18,2.592
43,2.592
19,2.594
20,2.596
33,2.599
83,2.599
44,2.6
2,2.618
72,2.618
45,2.62
45,2.623
90,2.6315
46,2.634
77,2.6475
47,2.652
4,2.653
48,2.657
49,2.662
60,2.67
50,2.673
30,2.677
88,2.6985
90,2.7
7,2.706
83,2.723
22,2.7285
73,2.73
59,2.7315
6,2.744
63,2.7445
6,2.7475
15,2.7535
15,2.763
57,2.7655
34,2.7795
25,2.785
88,2.814
24,2.8205
23,2.83
54,2.835
78,2.835
11,2.843
12,2.848
29,2.8485
68,2.852
61,2.858
30,2.86
16,2.874
33,2.874
61,2.874
62,2.883
63,2.8970000000000002
65,2.8985
64,2.899
90,2.9065
64,2.9090000000000003
88,2.9125
70,2.9135
17,2.9170000000000003
65,2.924
66,2.932
22,2.939
67,2.943
19,2.9465
34,2.9475000000000002
67,2.9495
68,2.953
69,2.959
69,2.9625
69,2.9675000000000002
16,2.9685
70,2.972
2,2.9745
53,2.975
76,2.9765
53,2.978
96,2.9805
88,2.9855
27,3.0025
59,3.0075000000000003
18,3.0225
79,3.0245
29,3.027
8,3.0340000000000003
67,3.04
67,3.045
43,3.053
26,3.0540000000000003
66,3.0540000000000003
35,3.055
52,3.057
54,3.0580000000000003
25,3.0620000000000003
11,3.0700000000000003
12,3.072
13,3.074
14,3.076
15,3.078
16,3.08
17,3.082
18,3.084
19,3.086
61,3.087
20,3.088
57,3.089
63,3.0955
62,3.096
50,3.0975
31,3.101
32,3.104
10,3.106
32,3.108
33,3.108
63,3.11
34,3.119
79,3.121
64,3.122
35,3.125
36,3.128
37,3.13
51,3.1310000000000002
38,3.1350000000000002
65,3.137
39,3.1390000000000002
40,3.141
39,3.1430000000000002
66,3.145
67,3.156
83,3.164
68,3.166
69,3.172
77,3.1805
70,3.185
21,3.2215000000000003
15,3.224
39,3.231
24,3.2415000000000003
34,3.2615000000000003
88,3.2685
13,3.2785
57,3.2835
5,3.289
67,3.3205
67,3.326
11,3.354
37,3.3645
45,3.379
8,3.398
79,3.416
64,3.4170000000000003
35,3.4210000000000003
48,3.4210000000000003
17,3.423
73,3.426
72,3.4545
16,3.466
2,3.4775
28,3.4785
49,3.4845
2,3.4855
25,3.487
